"# MFC1 PV 보정 — 2026-08-19 실측, AD08A 0~5V 설정",
dac,adc
100,193
200,390
300,587
400,783
500,980
600,1177
700,1376
800,1573
900,1769
1000,1965
1100,2146
1200,2325
1300,2497
1400,2547
1500,2548
1600,2554
1700,2558
1800,2563
1900,2568
2000,2575
