"# MFC6 PV 보정 — 2026-08-19 실측, AD08A 0~5V 설정",
dac,adc
100,193
200,390
300,586
400,782
500,979
600,1175
700,1371
800,1568
900,1764
1000,1957
1100,2135
1200,2312
1300,2460
1400,2472
1500,2475
1600,2480
1700,2485
1800,2490
1900,2496
2000,2502
