"# MFC3 PV 보정 — 2026-08-19 실측, AD08A 0~5V 설정",
dac,adc
100,195
200,393
300,590
400,787
500,984
600,1182
700,1379
800,1577
900,1773
1000,1972
1100,2153
1200,2334
1300,2502
1400,2541
1500,2542
1600,2548
1700,2552
1800,2557
1900,2562
2000,2569
